start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.106,0.535,0.42700000000000005,0.612,0.127,0.35,0.446,0.34299999999999997,2015-16
"Rebound, 11-30 s",0.23800000000000002,0.494,0.22399999999999998,0.506,0.349,0.40700000000000003,0.426,0.373,2015-16
"Score, 0-10 s",0.054000000000000006,0.556,0.38799999999999996,0.645,0.138,0.455,0.475,0.342,2015-16
"Score, 11-30 s",0.38299999999999995,0.45399999999999996,0.251,0.556,0.35,0.354,0.39899999999999997,0.319,2015-16
"Steal, 0-10 s",0.064,0.5479999999999999,0.649,0.59,0.149,0.35700000000000004,0.20199999999999999,0.368,2015-16
"Steal, 11-30 s",0.022000000000000002,0.19699999999999998,0.242,0.375,0.273,0.222,0.485,0.062,2015-16
Transition,0.22399999999999998,0.544,0.48,0.61,0.136,0.37799999999999995,0.384,0.34600000000000003,2015-16
