start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.12300000000000001,0.491,0.48200000000000004,0.561,0.165,0.214,0.353,0.35,2011-12,CentralConn.St.
"Rebound, 11-30 s",0.21600000000000003,0.557,0.39399999999999996,0.624,0.239,0.35200000000000004,0.36700000000000005,0.413,2011-12,CentralConn.St.
"Score, 0-10 s",0.059000000000000004,0.537,0.457,0.73,0.14800000000000002,0.25,0.395,0.281,2011-12,CentralConn.St.
"Score, 11-30 s",0.373,0.469,0.368,0.529,0.27899999999999997,0.301,0.353,0.359,2011-12,CentralConn.St.
"Steal, 0-10 s",0.07,0.604,0.792,0.632,0.083,0.5,0.125,0.33299999999999996,2011-12,CentralConn.St.
"Steal, 11-30 s",0.022000000000000002,0.45,0.33299999999999996,0.6,0.33299999999999996,0.3,0.33299999999999996,0.3,2011-12,CentralConn.St.
Transition,0.252,0.5329999999999999,0.562,0.621,0.138,0.271,0.3,0.327,2011-12,CentralConn.St.
