shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.45899999999999996,0.55,0.094,0.607,2012-13
2pt Jumpers,0.273,0.309,0.046,0.324,2012-13
3pt Shots,0.268,0.325,0.025,0.33299999999999996,2012-13
