name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Joe Furstinger,16,0.121,0.115,0.643,0.027999999999999997,0.028999999999999998,0.5,2017-18
Sam Logwood,13,0.10400000000000001,0.10800000000000001,0.615,0,0,NA,2017-18
Makuach Maluach,10,0.09300000000000001,0.040999999999999995,0.3,0,0,NA,2017-18
Troy Simons,8,0.107,0.028999999999999998,0.16699999999999998,0.05,0,0,2017-18
Vladimir Pinchuk,7,0.14300000000000002,0.10300000000000001,0.5,0.053,0,0,2017-18
Jachai Simmons,4,0.125,0.059000000000000004,0.25,0,0,NA,2017-18
Dane Kuiper,4,0.094,0.053,0.33299999999999996,0,0,NA,2017-18
Anthony Mathis,2,0.027000000000000003,0.04,1,0,0,NA,2017-18
Chris McNeal,2,0.019,0,0,0,0,NA,2017-18
Antino Jackson,1,0.015,0.027999999999999997,1,0,0,NA,2017-18
Total,67,0.08800000000000001,0.067,0.475,0.012,0.006999999999999999,0.2,2017-18
