start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.124,0.557,0.42,0.6759999999999999,0.182,0.375,0.39799999999999996,0.34299999999999997,2017-18,MoreheadSt.
"Rebound, 11-30 s",0.215,0.48,0.27899999999999997,0.5529999999999999,0.344,0.419,0.377,0.322,2017-18,MoreheadSt.
"Opp score, 0-10 s",0.047,0.598,0.303,0.65,0.182,0.33299999999999996,0.515,0.441,2017-18,MoreheadSt.
"Opp score, 11-30 s",0.397,0.441,0.261,0.517,0.321,0.381,0.41700000000000004,0.294,2017-18,MoreheadSt.
"Steal, 0-10 s",0.055999999999999994,0.614,0.5820000000000001,0.7609999999999999,0.10099999999999999,0.375,0.316,0.28,2017-18,MoreheadSt.
"Steal, 11-30 s",0.02,0.5,0.414,0.583,0.138,0,0.44799999999999995,0.385,2017-18,MoreheadSt.
Transition,0.226,0.579,0.436,0.7,0.162,0.365,0.402,0.35700000000000004,2017-18,MoreheadSt.
