start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.12300000000000001,0.507,0.359,0.557,0.145,0.469,0.495,0.321,2017-18,SetonHall
"Rebound, 11-30 s",0.20199999999999999,0.45299999999999996,0.319,0.583,0.297,0.336,0.38299999999999995,0.29,2017-18,SetonHall
"Score, 0-10 s",0.05,0.517,0.36700000000000005,0.606,0.122,0.364,0.511,0.326,2017-18,SetonHall
"Score, 11-30 s",0.428,0.507,0.297,0.551,0.327,0.41200000000000003,0.376,0.369,2017-18,SetonHall
"Steal, 0-10 s",0.061,0.597,0.611,0.652,0.065,0.28600000000000003,0.324,0.371,2017-18,SetonHall
"Steal, 11-30 s",0.022000000000000002,0.48700000000000004,0.231,0.667,0.33299999999999996,0.5379999999999999,0.436,0.235,2017-18,SetonHall
Transition,0.23399999999999999,0.532,0.426,0.601,0.12,0.42,0.455,0.332,2017-18,SetonHall
