name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Ernest Aflakpui,20,0.212,0.2,0.647,0.136,0,0,2017-18
Obi Enechionyia,13,0.179,0.065,0.2,0.03,0,0,2017-18
Damion Moore,12,0.256,0.29600000000000004,0.8,0.071,0.091,0.5,2017-18
Quinton Rose,10,0.054000000000000006,0.06,0.625,0.013999999999999999,0.017,0.5,2017-18
Shizz Alston,7,0.09300000000000001,0.121,0.8,0.006,0,0,2017-18
Nate Pierre-Louis,7,0.073,0.085,0.667,0.042,0,0,2017-18
Josh Brown,7,0.057999999999999996,0.10800000000000001,1,0.025,0,0,2017-18
De'Vondre Perry,3,0.13,0.188,1,0,0,NA,2017-18
J.P. Moormanii,3,0.077,0.133,1,0.059000000000000004,0.14300000000000002,1,2017-18
Total,82,0.10800000000000001,0.12,0.662,0.025,0.013999999999999999,0.2,2017-18
