shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.331,0.636,0.057999999999999996,0.675,2014-15
2pt Jumpers,0.259,0.4,0.062,0.42700000000000005,2014-15
3pt Shots,0.41,0.35200000000000004,0.005,0.353,2014-15
