shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.316,0.615,0.115,0.6940000000000001,2013-14
2pt Jumpers,0.361,0.305,0.099,0.33899999999999997,2013-14
3pt Shots,0.32299999999999995,0.358,0.008,0.361,2013-14
