name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
DaMetrius Upchurch,24,0.19,0.18600000000000003,0.579,0.128,0.133,0.4,2011-12
Lawrence Smith,16,0.192,0.214,0.643,0.067,0.111,0.5,2011-12
Austin Witter,16,0.203,0.217,0.625,0,0,NA,2011-12
Adrian Powell,15,0.111,0.10300000000000001,0.583,0.044000000000000004,0,0,2011-12
R.J. Buck,13,0.121,0.145,0.667,0.043,0,0,2011-12
Waylan Siverand,8,0.33299999999999996,0.28600000000000003,0.5,0,0,NA,2011-12
Anthony Estes,7,0.128,0.158,0.6,0.125,0,0,2011-12
Kam Shephard,7,0.273,0.28600000000000003,0.667,0.059000000000000004,0.125,1,2011-12
Jean Louisme,6,0.147,0.294,1,0.053,0,0,2011-12
Nic Simpson,4,0.087,0.095,0.5,0,0,NA,2011-12
D. Beholm-Tolly,1,0.2,0.33299999999999996,1,0,NA,NA,2011-12
Jordan Herrera,1,0.14300000000000002,0.33299999999999996,1,0,NA,NA,2011-12
Total,118,0.127,0.152,0.631,0.04,0.032,0.267,2011-12
