name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Caden Sanchez,24,0.17800000000000002,0.16899999999999998,0.609,0.026000000000000002,0,0,2019-20,HighPoint
Cliff Thomas Jr,15,0.19,0.182,0.667,0.071,0.077,0.33299999999999996,2019-20,HighPoint
John-Michael Wright,13,0.105,0.154,0.727,0.019,0,0,2019-20,HighPoint
Jamal Wright,11,0.133,0.11800000000000001,0.5,0.079,0.083,0.33299999999999996,2019-20,HighPoint
Rob Peterson III,10,0.14800000000000002,0.179,0.556,0,0,NA,2019-20,HighPoint
Emmanual Izunabor,9,0.19399999999999998,0.125,0.33299999999999996,0.086,0,0,2019-20,HighPoint
Coleman Eric,8,0.10300000000000001,0.1,0.429,0.02,0.071,1,2019-20,HighPoint
Curtis Holland III,4,0.073,0.042,0.25,0,0,NA,2019-20,HighPoint
Bryant Randleman,2,0.018000000000000002,0,0,0,0,NA,2019-20,HighPoint
Denny Slay II,2,0,0,NA,0.021,0,0,2019-20,HighPoint
Ryan Ayers,1,1,NA,0,0,0,NA,2019-20,HighPoint
Total,99,0.124,0.128,0.5489999999999999,0.03,0.019,0.214,2019-20,HighPoint
