shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.297,0.6,0.11800000000000001,0.68,2016-17,MississippiSt.
2pt Jumpers,0.36200000000000004,0.392,0.085,0.428,2016-17,MississippiSt.
3pt Shots,0.341,0.315,0.009000000000000001,0.318,2016-17,MississippiSt.
