shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.301,0.635,0.07200000000000001,0.684,2014-15
2pt Jumpers,0.342,0.33299999999999996,0.062,0.355,2014-15
3pt Shots,0.35700000000000004,0.308,0.008,0.31,2014-15
