shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.309,0.5539999999999999,0.105,0.619,2015-16
2pt Jumpers,0.376,0.376,0.067,0.40299999999999997,2015-16
3pt Shots,0.315,0.371,0.004,0.37200000000000005,2015-16
