start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.13699999999999998,0.568,0.428,0.716,0.257,0.386,0.315,0.34299999999999997,2015-16
"Rebound, 11-30 s",0.21600000000000003,0.47,0.251,0.568,0.389,0.368,0.36,0.341,2015-16
"Opp score, 0-10 s",0.055,0.545,0.348,0.774,0.371,0.424,0.281,0.28,2015-16
"Opp score, 11-30 s",0.382,0.48100000000000004,0.21899999999999997,0.607,0.441,0.382,0.34,0.35200000000000004,2015-16
"Steal, 0-10 s",0.064,0.67,0.631,0.815,0.165,0.41200000000000003,0.204,0.28600000000000003,2015-16
"Steal, 11-30 s",0.027000000000000003,0.698,0.27899999999999997,0.917,0.27899999999999997,0.583,0.442,0.42100000000000004,2015-16
Transition,0.256,0.588,0.461,0.759,0.258,0.402,0.28,0.319,2015-16
