shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.358,0.563,0.098,0.624,2012-13
2pt Jumpers,0.305,0.387,0.05,0.40700000000000003,2012-13
3pt Shots,0.337,0.305,0.004,0.306,2012-13
