shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.302,0.601,0.113,0.6779999999999999,2014-15
2pt Jumpers,0.345,0.332,0.113,0.375,2014-15
3pt Shots,0.353,0.341,0.012,0.345,2014-15
