name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Chris Wray,20,0.136,0.134,0.65,0,0,NA,2017-18,MountSt.Mary's
Bobby Planutis,6,0.136,0.136,0.5,0,NA,NA,2017-18,MountSt.Mary's
Junior Robinson,5,0.021,0.04,1,0.008,0.02,1,2017-18,MountSt.Mary's
Ryan Gomes,5,0.069,0.067,0.6,0,0,NA,2017-18,MountSt.Mary's
Omar Habwe,4,0.182,0.188,0.75,0,0,NA,2017-18,MountSt.Mary's
Jonah Antonio,4,0.08800000000000001,0.05,0.33299999999999996,0.03,0,0,2017-18,MountSt.Mary's
Donald Carey,3,0.03,0.03,0.5,0.015,0,0,2017-18,MountSt.Mary's
Jack Vukelich,2,1,NA,0,NA,NA,NA,2017-18,MountSt.Mary's
Ross Young,1,0.33299999999999996,0,0,NA,NA,NA,2017-18,MountSt.Mary's
Greg Alexander,1,0,0,NA,0.027999999999999997,0.055999999999999994,1,2017-18,MountSt.Mary's
Total,51,0.076,0.078,0.596,0.013000000000000001,0.016,0.5,2017-18,MountSt.Mary's
