name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Sam Beeler,22,0.126,0.135,0.857,0.276,0.5,0.75,2015-16,UCSantaBarbara
Mitch Brewe,22,0.25,0.273,0.706,0.098,0.14300000000000002,0.6,2015-16,UCSantaBarbara
Michael Bryson,15,0.102,0.127,0.909,0.031,0.02,0.25,2015-16,UCSantaBarbara
John Green,10,0.136,0.19399999999999998,0.778,0.011000000000000001,0,0,2015-16,UCSantaBarbara
Dajuan Smith,8,0.152,0.053,0.2,0.077,0,0,2015-16,UCSantaBarbara
Alex Hart,6,0.312,0.222,0.4,0.045,0.091,1,2015-16,UCSantaBarbara
Jarriesse Blackmon,5,0.22699999999999998,0.25,0.4,0,0,NA,2015-16,UCSantaBarbara
Gabe Vincent,3,0.027000000000000003,0.047,1,0.008,0.025,1,2015-16,UCSantaBarbara
Eric Childress,3,0.032,0.065,1,0,0,NA,2015-16,UCSantaBarbara
Maxwell Kupchak,2,0.026000000000000002,0.04,1,0,0,NA,2015-16,UCSantaBarbara
Ami Lakoju,1,0.14300000000000002,0,0,0,NA,NA,2015-16,UCSantaBarbara
T.J. Taylor,1,0.111,0.25,1,0,0,NA,2015-16,UCSantaBarbara
Total,98,0.11900000000000001,0.133,0.7120000000000001,0.036000000000000004,0.055999999999999994,0.522,2015-16,UCSantaBarbara
