name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
James Butler,29,0.162,0.161,0.682,0.092,0.055999999999999994,0.28600000000000003,2018-19,Drexel
Alihan Demir,21,0.086,0.08900000000000001,0.688,0.049,0.048,0.4,2018-19,Drexel
Jarvis Doles,8,0.28600000000000003,0.33299999999999996,0.667,0.125,0,0,2018-19,Drexel
Camren Wynter,7,0.018000000000000002,0.019,0.5,0.025,0,0,2018-19,Drexel
Tim Perry,5,0.128,0.14800000000000002,0.8,0,0,NA,2018-19,Drexel
Zach Walton,4,0.21100000000000002,0.091,0.25,0,0,NA,2018-19,Drexel
Troy Harper,3,0.023,0.013999999999999999,0.33299999999999996,0,0,NA,2018-19,Drexel
Trevor John,2,0,0,NA,0.04,0,0,2018-19,Drexel
Tadas Kararinas,1,0.1,0.14300000000000002,1,0,NA,NA,2018-19,Drexel
Sam Green,1,0,NA,NA,0.5,0,0,2018-19,Drexel
Total,81,0.084,0.09,0.644,0.038,0.019,0.2,2018-19,Drexel
