shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.299,0.614,0.10800000000000001,0.6890000000000001,2019-20
2pt Jumpers,0.321,0.35700000000000004,0.068,0.384,2019-20
3pt Shots,0.38,0.315,0.005,0.316,2019-20
