shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.193,0.684,0.079,0.743,2014-15
2pt Jumpers,0.452,0.326,0.092,0.359,2014-15
3pt Shots,0.355,0.348,0.002,0.348,2014-15
