shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.303,0.635,0.09,0.698,2018-19,UCSantaBarbara
2pt Jumpers,0.337,0.368,0.066,0.39399999999999996,2018-19,UCSantaBarbara
3pt Shots,0.36,0.305,0.017,0.311,2018-19,UCSantaBarbara
