name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Deion Bute,33,0.272,0.276,0.677,0.048,0,0,2018-19
Jamir Coleman,23,0.16699999999999998,0.22899999999999998,0.762,0.01,0,0,2018-19
Tyler Kohl,18,0.071,0.057999999999999996,0.364,0.061,0.044000000000000004,0.28600000000000003,2018-19
Karrington Wallace,9,0.19,0.174,0.5,0.032,0.083,1,2018-19
Joe Hugley,9,0.08800000000000001,0.081,0.5,0.075,0,0,2018-19
Kashaun Hicks,7,0.184,0.125,0.28600000000000003,0,0,NA,2018-19
Thai Segwai,3,0.111,0.33299999999999996,1,0,0,NA,2018-19
Ian Krishnan,2,0.039,0.1,1,0,0,NA,2018-19
Tyson Batiste,2,0.018000000000000002,0,0,0.036000000000000004,0,0,2018-19
Donyell Marshall,1,1,1,1,NA,NA,NA,2018-19
Total,107,0.131,0.156,0.615,0.028999999999999998,0.015,0.2,2018-19
