shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.40399999999999997,0.542,0.151,0.638,2016-17,Harvard
2pt Jumpers,0.247,0.33899999999999997,0.084,0.371,2016-17,Harvard
3pt Shots,0.349,0.313,0.011000000000000001,0.316,2016-17,Harvard
