start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.14300000000000002,0.613,0.39799999999999996,0.62,0.195,0.511,0.40700000000000003,0.436,2017-18,Towson
"Rebound, 11-30 s",0.19899999999999998,0.449,0.259,0.5660000000000001,0.439,0.348,0.302,0.33,2017-18,Towson
"Opp score, 0-10 s",0.033,0.5660000000000001,0.264,0.5710000000000001,0.226,0.583,0.509,0.37,2017-18,Towson
"Opp score, 11-30 s",0.408,0.47700000000000004,0.273,0.594,0.37799999999999995,0.345,0.349,0.35200000000000004,2017-18,Towson
"Steal, 0-10 s",0.079,0.72,0.7090000000000001,0.8220000000000001,0.134,0.41200000000000003,0.157,0.35,2017-18,Towson
"Steal, 11-30 s",0.021,0.5,0.17600000000000002,0.833,0.5,0.353,0.324,0.364,2017-18,Towson
Transition,0.255,0.64,0.47700000000000004,0.7090000000000001,0.18,0.5,0.34299999999999997,0.41100000000000003,2017-18,Towson
