start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.162,0.581,0.42200000000000004,0.648,0.28,0.469,0.298,0.395,2015-16
"Rebound, 11-30 s",0.153,0.478,0.287,0.6920000000000001,0.342,0.33299999999999996,0.371,0.297,2015-16
"Opp score, 0-10 s",0.076,0.588,0.375,0.608,0.213,0.345,0.41200000000000003,0.46399999999999997,2015-16
"Opp score, 11-30 s",0.381,0.462,0.27699999999999997,0.628,0.389,0.36700000000000005,0.33399999999999996,0.29100000000000004,2015-16
"Steal, 0-10 s",0.105,0.642,0.765,0.72,0.12300000000000001,0.348,0.11199999999999999,0.28600000000000003,2015-16
"Steal, 11-30 s",0.017,0.41700000000000004,0.267,0.5,0.433,0.5379999999999999,0.3,0.111,2015-16
Transition,0.344,0.601,0.516,0.674,0.217,0.42100000000000004,0.266,0.405,2015-16
