shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.344,0.547,0.145,0.64,2017-18,TexasTech
2pt Jumpers,0.273,0.33,0.075,0.35600000000000004,2017-18,TexasTech
3pt Shots,0.38299999999999995,0.32299999999999995,0.021,0.33,2017-18,TexasTech
