name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Ethan Happ,29,0.07,0.09300000000000001,0.773,0.042,0.053,0.5710000000000001,2018-19,Wisconsin
Nate Reuvers,21,0.183,0.209,0.6920000000000001,0.10099999999999999,0.133,0.5,2018-19,Wisconsin
Charles Thomas IV,10,0.5,0.4,0.5,0.133,0.2,0.5,2018-19,Wisconsin
Khalil Iverson,9,0.068,0.083,0.75,0.024,0,0,2018-19,Wisconsin
Brevin Pritzl,5,0.16699999999999998,0.17600000000000002,0.75,0,0,NA,2018-19,Wisconsin
Kobe King,5,0.091,0.08,0.5,0.033,0.067,1,2018-19,Wisconsin
Aleem Ford,3,0.154,0.222,1,0,0,NA,2018-19,Wisconsin
Trevor Anderson,1,0.111,0.2,1,NA,NA,NA,2018-19,Wisconsin
D'Mitrik Trice,1,0,0,NA,0,0,NA,2018-19,Wisconsin
Total,84,0.084,0.106,0.71,0.035,0.046,0.526,2018-19,Wisconsin
