name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Mike Rostampour,35,0.318,0.265,0.48100000000000004,0.073,0.025,0.125,2014-15,Omaha
Jake White,25,0.366,0.39299999999999996,0.733,0.154,0.21100000000000002,0.4,2014-15,Omaha
Tre'Shawn Thurman,11,0.107,0.14300000000000002,0.875,0.032,0,0,2014-15,Omaha
Marcus Tyus,10,0.045,0.022000000000000002,0.25,0.06,0.08,0.667,2014-15,Omaha
Randy Reed,9,0.231,0.28600000000000003,0.889,0,0,NA,2014-15,Omaha
Daniel Meyer,6,0.278,0.091,0.2,0.111,0,0,2014-15,Omaha
CJ Carter,6,0.022000000000000002,0.024,0.667,0.02,0.045,1,2014-15,Omaha
Devin Patterson,4,0.01,0.021,1,0.013999999999999999,0.034,1,2014-15,Omaha
Tim Smallwood,3,0.087,0.071,0.5,0.059000000000000004,0,0,2014-15,Omaha
Devin Newsome,1,0.5,NA,0,0,0,NA,2014-15,Omaha
Kyler Erickson,1,0,0,NA,0.16699999999999998,0,0,2014-15,Omaha
Total,111,0.12,0.122,0.6,0.053,0.046,0.33299999999999996,2014-15,Omaha
