name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Nico Carvacho,47,0.177,0.196,0.73,0.065,0.10300000000000001,0.8,2018-19,ColoradoSt.
Lorenzo Jenkins,5,0.23800000000000002,0.28600000000000003,0.4,0,0,NA,2018-19,ColoradoSt.
Logan Ryan,3,0.111,0.136,1,0,0,NA,2018-19,ColoradoSt.
J.D. Paige,3,0.017,0.028999999999999998,1,0.011000000000000001,0.027000000000000003,1,2018-19,ColoradoSt.
Kris Martin,3,0.051,0.032,0.33299999999999996,0,0,NA,2018-19,ColoradoSt.
Anthony Masinton-Bonner,3,0.037000000000000005,0.05,1,0.028999999999999998,0,0,2018-19,ColoradoSt.
Adam Thistlewood,3,0.024,0.036000000000000004,1,0.043,0.111,1,2018-19,ColoradoSt.
Kendle Moore,1,0.012,0.017,1,0,0,NA,2018-19,ColoradoSt.
Robbie Berwick,1,0,0,NA,0.16699999999999998,0,0,2018-19,ColoradoSt.
Total,69,0.081,0.092,0.722,0.033,0.054000000000000006,0.7140000000000001,2018-19,ColoradoSt.
