name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Tim Kempton,27,0.128,0.14400000000000002,0.741,0,0,NA,2015-16
Jesse Chuku,17,0.233,0.2,0.429,0.055999999999999994,0.043,0.33299999999999996,2015-16
Justin Goldsborough,15,0.203,0.19,0.615,0.091,0,0,2015-16
Austin Price,7,0.069,0.057999999999999996,0.429,0,0,NA,2015-16
Kyle Leufroy,6,0.061,0.102,0.833,0,0,NA,2015-16
Devon Carter,4,0.129,0.17600000000000002,0.75,0,0,NA,2015-16
Kahron Ross,3,0,0,NA,0.018000000000000002,0.018000000000000002,0.5,2015-16
John Ross Glover,1,0.032,0.067,1,0,NA,NA,2015-16
Jayjay Davis,1,0.25,1,1,NA,NA,NA,2015-16
Total,81,0.102,0.11900000000000001,0.644,0.015,0.011000000000000001,0.28600000000000003,2015-16
