shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.21600000000000003,0.7559999999999999,0.035,0.784,2011-12
2pt Jumpers,0.466,0.37799999999999995,0.079,0.41100000000000003,2011-12
3pt Shots,0.318,0.305,0.013000000000000001,0.309,2011-12
