name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Rodney Williams,21,0.19399999999999998,0.16699999999999998,0.5710000000000001,0.175,0.1,0.14300000000000002,2013-14
Dartaye Ruffin,20,0.25,0.212,0.579,0.034,0,0,2013-14
Kazembe Abif,19,0.4,0.33299999999999996,0.5,0.057,0,0,2013-14
Mohamed Bah,9,0.292,0.17600000000000002,0.429,0.33299999999999996,0.5,0.5,2013-14
Chris Fouch,8,0.034,0.021,0.33299999999999996,0.026000000000000002,0.03,0.5,2013-14
Goran Pantovic,7,0.556,0.5,0.6,0.667,NA,0,2013-14
Tavon Allen,7,0.062,0.095,0.8,0.012,0.031,1,2013-14
Frantz Massenat,6,0.02,0.012,0.33299999999999996,0.023,0,0,2013-14
Major Canady,2,0.125,0.16699999999999998,0.5,0,0,NA,2013-14
Freddie Wilson,1,0.062,0,0,0,0,NA,2013-14
Total,100,0.13,0.11900000000000001,0.5329999999999999,0.036000000000000004,0.026000000000000002,0.261,2013-14
