name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Stacy Davis,34,0.225,0.188,0.517,0.038,0.042,0.4,2015-16
Jett Raines,27,0.145,0.165,0.81,0.057,0.105,0.667,2015-16
Murray Lamond,19,0.10099999999999999,0.107,0.667,0.033,0.025,0.33299999999999996,2015-16
Kameron Edwards,16,0.133,0.185,0.7140000000000001,0.026000000000000002,0.033,0.5,2015-16
A.J. John,13,0.406,0.5,0.615,0,0,NA,2015-16
Jeremy Major,2,0.031,0.051,1,0,0,NA,2015-16
Atif Russell,1,0.125,0.25,1,0,0,NA,2015-16
Hakeem Anchrum,1,0.33299999999999996,0.5,1,0,0,NA,2015-16
Amadi Udenyi,1,0,0,NA,0,0,NA,2015-16
Total,114,0.14,0.155,0.667,0.028999999999999998,0.034,0.455,2015-16
