start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.085,0.46399999999999997,0.49200000000000005,0.607,0.218,0.259,0.29,0.25,2014-15
"Rebound, 11-30 s",0.22399999999999998,0.45399999999999996,0.289,0.611,0.35600000000000004,0.308,0.35600000000000004,0.316,2014-15
"Score, 0-10 s",0.05,0.473,0.257,0.684,0.203,0.267,0.541,0.3,2014-15
"Score, 11-30 s",0.401,0.425,0.312,0.527,0.336,0.298,0.35100000000000003,0.304,2014-15
"Steal, 0-10 s",0.073,0.603,0.682,0.6709999999999999,0.09300000000000001,0.5,0.22399999999999998,0.292,2014-15
"Steal, 11-30 s",0.028999999999999998,0.512,0.31,0.385,0.452,0.474,0.23800000000000002,0.5,2014-15
Transition,0.20800000000000002,0.515,0.502,0.647,0.17,0.308,0.32799999999999996,0.28,2014-15
