name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Tony Wroblicky,32,0.17600000000000002,0.16699999999999998,0.591,0.175,0.28600000000000003,0.6,2012-13
Stephen Lumpkins,32,0.135,0.126,0.5,0.040999999999999995,0.028999999999999998,0.25,2012-13
Kyle Kager,6,0.7140000000000001,0.667,0.4,0.091,0,0,2012-13
John Schoof,6,0.138,0.091,0.25,0.057,0.1,0.5,2012-13
Mike Bersch,4,0.33299999999999996,0.28600000000000003,0.5,0,0,NA,2012-13
Warren Flood,1,NA,NA,NA,0.33299999999999996,NA,0,2012-13
Daniel Munoz,1,0,0,NA,0,0,NA,2012-13
Jesse Reed,1,0.042,0.067,1,0,0,NA,2012-13
Marko Vasic,1,0.083,0.125,1,0,0,NA,2012-13
Zach Elcano,1,0.33299999999999996,0.5,1,0,NA,NA,2012-13
Daniel Fisher,1,0.083,0,0,0,0,NA,2012-13
Total,86,0.128,0.121,0.522,0.038,0.054000000000000006,0.444,2012-13
