shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.44799999999999995,0.5529999999999999,0.11199999999999999,0.623,2014-15,TennesseeTech
2pt Jumpers,0.19699999999999998,0.374,0.05,0.39399999999999996,2014-15,TennesseeTech
3pt Shots,0.355,0.35700000000000004,0.01,0.36,2014-15,TennesseeTech
