name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Elijah Childs,22,0.10300000000000001,0.09699999999999999,0.636,0.044000000000000004,0.081,0.8,2018-19,Bradley
Koch Bar,19,0.212,0.21600000000000003,0.727,0.107,0.067,0.25,2018-19,Bradley
Dwayne Lautier-Ogunleye,10,0.071,0,0,0.111,0.14300000000000002,0.25,2018-19,Bradley
VAN,6,0.25,0.33299999999999996,1,0.071,0,0,2018-19,Bradley
Ja'Shon Henry,5,0.040999999999999995,0.061,1,0.09699999999999999,0.091,0.33299999999999996,2018-19,Bradley
Luuk van Bree,4,0.25,0.5,1,0.14300000000000002,0.125,0.5,2018-19,Bradley
Ari Boya,3,0.2,0.28600000000000003,0.667,0,0,NA,2018-19,Bradley
Antoine Pittman,2,0.08,0.067,0.5,0,0,NA,2018-19,Bradley
Armon Brummett,1,0.2,0.5,1,0,0,NA,2018-19,Bradley
Nate Kennell,1,0.026000000000000002,0,0,0,0,NA,2018-19,Bradley
Total,73,0.081,0.08199999999999999,0.61,0.043,0.049,0.419,2018-19,Bradley
