shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.318,0.561,0.092,0.618,2016-17
2pt Jumpers,0.281,0.381,0.062,0.40700000000000003,2016-17
3pt Shots,0.4,0.344,0.006,0.34600000000000003,2016-17
