shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.444,0.496,0.135,0.573,2014-15
2pt Jumpers,0.264,0.294,0.061,0.313,2014-15
3pt Shots,0.292,0.315,0.019,0.321,2014-15
