shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.218,0.63,0.09699999999999999,0.698,2017-18,MissouriSt.
2pt Jumpers,0.415,0.365,0.11699999999999999,0.413,2017-18,MissouriSt.
3pt Shots,0.36700000000000005,0.331,0.003,0.332,2017-18,MissouriSt.
