shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.311,0.5529999999999999,0.152,0.653,2019-20,Drake
2pt Jumpers,0.287,0.358,0.061,0.381,2019-20,Drake
3pt Shots,0.402,0.36700000000000005,0.003,0.368,2019-20,Drake
