shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.373,0.562,0.10400000000000001,0.627,2019-20,CaliforniaBaptist
2pt Jumpers,0.29600000000000004,0.366,0.046,0.384,2019-20,CaliforniaBaptist
3pt Shots,0.33,0.301,0.006,0.303,2019-20,CaliforniaBaptist
