shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.387,0.524,0.136,0.607,2013-14,Brown
2pt Jumpers,0.293,0.324,0.08800000000000001,0.355,2013-14,Brown
3pt Shots,0.319,0.3,0.006999999999999999,0.302,2013-14,Brown
