start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.145,0.562,0.342,0.682,0.319,0.39,0.33899999999999997,0.402,2017-18,UNCW
"Rebound, 11-30 s",0.20800000000000002,0.449,0.233,0.523,0.45,0.301,0.317,0.402,2017-18,UNCW
"Opp score, 0-10 s",0.085,0.47,0.298,0.511,0.265,0.525,0.43700000000000006,0.273,2017-18,UNCW
"Opp score, 11-30 s",0.40399999999999997,0.479,0.218,0.609,0.39799999999999996,0.365,0.384,0.349,2017-18,UNCW
"Steal, 0-10 s",0.047,0.53,0.48200000000000004,0.625,0.27699999999999997,0.565,0.24100000000000002,0.2,2017-18,UNCW
"Steal, 11-30 s",0.013999999999999999,0.688,0.125,0.667,0.375,0.444,0.5,0.583,2017-18,UNCW
Transition,0.27699999999999997,0.529,0.35200000000000004,0.624,0.295,0.455,0.35200000000000004,0.32899999999999996,2017-18,UNCW
