shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.41600000000000004,0.629,0.087,0.6890000000000001,2018-19
2pt Jumpers,0.245,0.354,0.068,0.38,2018-19
3pt Shots,0.33899999999999997,0.32899999999999996,0.006999999999999999,0.331,2018-19
