shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.375,0.625,0.078,0.677,2017-18,ClevelandSt.
2pt Jumpers,0.228,0.354,0.043,0.37,2017-18,ClevelandSt.
3pt Shots,0.396,0.355,0.012,0.359,2017-18,ClevelandSt.
