shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.39799999999999996,0.5760000000000001,0.084,0.629,2011-12,Hartford
2pt Jumpers,0.26,0.36700000000000005,0.019,0.375,2011-12,Hartford
3pt Shots,0.342,0.365,0.006,0.36700000000000005,2011-12,Hartford
