name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Darius Lewis,21,0.196,0.18100000000000002,0.619,0,0,NA,2015-16,Duquesne
L.G. Gill,20,0.256,0.275,0.7,0,0,NA,2015-16,Duquesne
Eric James,18,0.128,0.105,0.529,0,0,NA,2015-16,Duquesne
Tysean Powell,14,0.129,0.127,0.667,0.1,0,0,2015-16,Duquesne
Jordan Robinson,11,0.263,0.22699999999999998,0.5,0.071,0.16699999999999998,1,2015-16,Duquesne
Nakye Sanders,10,0.33299999999999996,0.381,0.8,0,NA,NA,2015-16,Duquesne
Derrick Colter,4,0.006999999999999999,0,0,0.021,0.053,1,2015-16,Duquesne
Nick Foschia,3,0.6,NA,0,0,0,NA,2015-16,Duquesne
Mar'Qywell Jackson,3,0.231,0.25,0.667,0,0,NA,2015-16,Duquesne
Josh Steel,2,0.222,0.2,0.5,0,0,NA,2015-16,Duquesne
Jeremiah Jones,2,0.057,0.053,0.5,0,0,NA,2015-16,Duquesne
Rene Castro,2,0.1,0.1,0.5,0,0,NA,2015-16,Duquesne
Micah Mason,1,0,0,NA,0.012,0.028999999999999998,1,2015-16,Duquesne
Total,111,0.13,0.127,0.602,0.016,0.028999999999999998,0.667,2015-16,Duquesne
