shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.35600000000000004,0.61,0.065,0.653,2012-13,Drexel
2pt Jumpers,0.33399999999999996,0.332,0.036000000000000004,0.344,2012-13,Drexel
3pt Shots,0.31,0.34,0.011000000000000001,0.344,2012-13,Drexel
