start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.11,0.442,0.35700000000000004,0.607,0.23399999999999999,0.4,0.409,0.214,2017-18,MiddleTenn.
"Rebound, 11-30 s",0.217,0.484,0.28600000000000003,0.625,0.342,0.33,0.37200000000000005,0.344,2017-18,MiddleTenn.
"Score, 0-10 s",0.040999999999999995,0.508,0.344,0.636,0.156,0.5,0.5,0.281,2017-18,MiddleTenn.
"Score, 11-30 s",0.428,0.473,0.235,0.6859999999999999,0.33899999999999997,0.364,0.425,0.294,2017-18,MiddleTenn.
"Steal, 0-10 s",0.061,0.5429999999999999,0.596,0.5539999999999999,0.149,0.5710000000000001,0.255,0.33299999999999996,2017-18,MiddleTenn.
"Steal, 11-30 s",0.022000000000000002,0.456,0.294,0.5,0.382,0.231,0.324,0.455,2017-18,MiddleTenn.
Transition,0.212,0.483,0.42200000000000004,0.59,0.195,0.45299999999999996,0.38299999999999995,0.254,2017-18,MiddleTenn.
