shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.42,0.55,0.079,0.597,2013-14,ArkansasSt.
2pt Jumpers,0.253,0.366,0.05,0.385,2013-14,ArkansasSt.
3pt Shots,0.326,0.325,0.003,0.326,2013-14,ArkansasSt.
