start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.155,0.467,0.41600000000000004,0.562,0.305,0.37799999999999995,0.27899999999999997,0.28,2013-14,California
"Rebound, 11-30 s",0.22399999999999998,0.527,0.201,0.667,0.47,0.475,0.32899999999999996,0.344,2013-14,California
"Opp score, 0-10 s",0.047,0.457,0.40700000000000003,0.7879999999999999,0.247,0.25,0.34600000000000003,0.14300000000000002,2013-14,California
"Opp score, 11-30 s",0.40399999999999997,0.491,0.217,0.5589999999999999,0.466,0.40399999999999997,0.317,0.38299999999999995,2013-14,California
"Steal, 0-10 s",0.057999999999999996,0.655,0.69,0.768,0.15,0.33299999999999996,0.16,0.312,2013-14,California
"Steal, 11-30 s",0.018000000000000002,0.406,0.21899999999999997,0.5710000000000001,0.469,0.2,0.312,0.4,2013-14,California
Transition,0.259,0.507,0.47600000000000003,0.664,0.26,0.35,0.264,0.252,2013-14,California
