start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.18600000000000003,0.47600000000000003,0.271,0.65,0.149,0.273,0.58,0.298,2019-20,Villanova
"Rebound, 11-30 s",0.215,0.565,0.29,0.616,0.24600000000000002,0.405,0.46299999999999997,0.41100000000000003,2019-20,Villanova
"Opp score, 0-10 s",0.035,0.705,0.48200000000000004,0.815,0.125,0.5710000000000001,0.39299999999999996,0.409,2019-20,Villanova
"Opp score, 11-30 s",0.38299999999999995,0.48200000000000004,0.294,0.5589999999999999,0.248,0.364,0.457,0.331,2019-20,Villanova
"Steal, 0-10 s",0.03,0.5,0.447,0.7140000000000001,0.128,0.16699999999999998,0.426,0.25,2019-20,Villanova
"Steal, 11-30 s",0.021,0.5760000000000001,0.364,0.583,0.303,0.3,0.33299999999999996,0.545,2019-20,Villanova
Transition,0.251,0.511,0.322,0.695,0.14300000000000002,0.298,0.535,0.305,2019-20,Villanova
