start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.075,0.552,0.583,0.48200000000000004,0.146,0.35700000000000004,0.271,0.5379999999999999,2012-13
"Rebound, 11-30 s",0.254,0.44299999999999995,0.40700000000000003,0.489,0.205,0.254,0.38799999999999996,0.331,2012-13
"Opp score, 0-10 s",0.034,0.42,0.364,0.625,0.159,0.14300000000000002,0.47700000000000004,0.23800000000000002,2012-13
"Opp score, 11-30 s",0.385,0.436,0.38799999999999996,0.45799999999999996,0.21,0.27899999999999997,0.402,0.332,2012-13
"Steal, 0-10 s",0.062,0.594,0.688,0.655,0.11199999999999999,0.111,0.2,0.43799999999999994,2012-13
"Steal, 11-30 s",0.045,0.44,0.466,0.519,0.207,0.33299999999999996,0.32799999999999996,0.263,2012-13
Transition,0.171,0.541,0.5770000000000001,0.575,0.136,0.233,0.28600000000000003,0.413,2012-13
