name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Akuwovo Ogheneyole,29,0.337,0.28,0.483,0,0,NA,2018-19
Zion Cousins,28,0.324,0.364,0.667,0.053,0.105,0.5,2018-19
Chad Lott,14,0.085,0.11699999999999999,0.818,0.017,0.027000000000000003,0.667,2018-19
Andre Toure,11,0.155,0.171,0.636,0,0,NA,2018-19
Charles Williams,8,0.08199999999999999,0.10800000000000001,0.875,0,0,NA,2018-19
Raymond Bethea,5,0.1,0.16699999999999998,1,0.031,0.125,1,2018-19
Princewill Anosike,3,0.14300000000000002,0.2,0.667,0,0,NA,2018-19
RJ Cole,2,0.01,0.01,0.5,0,0,NA,2018-19
Langston Gaither,1,0.125,0,0,0,NA,NA,2018-19
Kyle Foster,1,0,0,NA,0,0,NA,2018-19
Cameron Lewis,1,0.5,0.5,1,0,0,NA,2018-19
Jalen Jones,1,0,0,NA,0.071,0,0,2018-19
Total,104,0.126,0.141,0.645,0.013000000000000001,0.02,0.556,2018-19
