name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Matt Neufeld,10,0.08199999999999999,0.067,0.5,0.03,0,0,2018-19
Garrison Goode,9,0.08900000000000001,0.12,0.857,0.111,0,0,2018-19
Rogers Printup,4,0.21100000000000002,0.231,0.75,0,0,NA,2018-19
Colin Russell,3,0.154,0.2,0.5,0.2,0,0,2018-19
AJ John,3,0.111,0.059000000000000004,0.33299999999999996,0,NA,NA,2018-19
TJ Shorts II,3,0.012,0.02,1,0,0,NA,2018-19
Caleb Fuller,2,0.077,0.11800000000000001,1,0,NA,NA,2018-19
Jonah Underwood,2,0.5,0.667,1,NA,NA,NA,2018-19
Stefan Gonzalez,2,0.043,0.071,1,0.043,0.111,1,2018-19
Gio Nelson,1,1,1,1,0,NA,NA,2018-19
Siler Schneider,1,0.009000000000000001,0,0,0,0,NA,2018-19
Joe Mooney,1,0,0,NA,0.022000000000000002,0,0,2018-19
Total,41,0.051,0.061,0.6970000000000001,0.018000000000000002,0.006999999999999999,0.14300000000000002,2018-19
