name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Tim Williams,35,0.16399999999999998,0.16899999999999998,0.758,0.006,0,0,2013-14
Jordan Capps,24,0.218,0.226,0.636,0.105,0,0,2013-14
Michael Bradley,19,0.654,0.5710000000000001,0.47100000000000003,0.038,0,0,2013-14
Tyler Hood,13,0.139,0.163,0.727,0.067,0,0,2013-14
Connor Miller,5,0.078,0.091,0.5,0.05,0,0,2013-14
Brandon Hayman,5,0.25,0.267,0.8,0,NA,NA,2013-14
Nnamdi Enechionyia,2,0.222,0,0,0,NA,NA,2013-14
Chris Longoria,2,0.071,0.062,0.5,0,0,NA,2013-14
Emeka Ikezu,1,0.25,0.33299999999999996,1,0,0,NA,2013-14
Eric Adams,1,0.5,NA,0,0,0,NA,2013-14
Brandon Roberts,1,0.023,0.033,1,0,0,NA,2013-14
Raijon Kelly,1,0,0,NA,0.006999999999999999,0.013999999999999999,1,2013-14
Total,109,0.132,0.138,0.6459999999999999,0.016,0.004,0.111,2013-14
