name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Toby Hegner,11,0.17,0.139,0.556,0.054000000000000006,0,0,2017-18
Martin Krampelj,11,0.096,0.08,0.7,0.077,0,0,2017-18
Marcus Foster,10,0.046,0.055999999999999994,0.857,0,0,NA,2017-18
Khyri Thomas,8,0.065,0.071,0.857,0,0,NA,2017-18
Ronnie Harrell,6,0.086,0.11900000000000001,0.833,0,0,NA,2017-18
Manny Suarez,6,0.171,0.182,0.667,0,0,NA,2017-18
Mitch Ballock,5,0.06,0.061,0.667,0,0,NA,2017-18
Davion Mintz,5,0.055999999999999994,0.038,0.33299999999999996,0.047,0.062,0.5,2017-18
Jacob Epperson,3,0.028999999999999998,0.037000000000000005,1,0.091,0,0,2017-18
Total,65,0.073,0.07400000000000001,0.7120000000000001,0.013999999999999999,0.006,0.16699999999999998,2017-18
