shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.26,0.528,0.157,0.626,2016-17
2pt Jumpers,0.36200000000000004,0.315,0.11699999999999999,0.35700000000000004,2016-17
3pt Shots,0.377,0.337,0.013999999999999999,0.342,2016-17
