shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.307,0.614,0.113,0.6920000000000001,2014-15,TennesseeSt.
2pt Jumpers,0.266,0.368,0.1,0.409,2014-15,TennesseeSt.
3pt Shots,0.428,0.326,0.003,0.327,2014-15,TennesseeSt.
