name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Tamenang Choh,18,0.099,0.106,0.611,0,0,NA,2018-19,Brown
David Mitchell,9,0.243,0.261,0.667,0,NA,NA,2018-19,Brown
Obi Okolie,7,0.06,0.053,0.5,0.016,0,0,2018-19,Brown
Joshua Howard,7,0.09699999999999999,0.111,0.833,0.062,0,0,2018-19,Brown
Desmond Cambridge,5,0.038,0.038,0.5,0.021,0.017,0.33299999999999996,2018-19,Brown
Matt DeWolf,5,0.102,0.1,0.6,0,0,NA,2018-19,Brown
Jaylan Gainey,4,0.273,0.111,0.33299999999999996,1,NA,0,2018-19,Brown
Brandon Anderson,3,0.024,0.027000000000000003,0.5,0.024,0.059000000000000004,1,2018-19,Brown
George Mawanda-Kalema,2,0.051,0.08,1,0,0,NA,2018-19,Brown
Thomas Shaughnessy,1,NA,NA,NA,0,0,NA,2018-19,Brown
Chris Sullivan,1,0.062,0.1,1,0,0,NA,2018-19,Brown
Zach Hunsaker,1,0,0,NA,0,0,NA,2018-19,Brown
Total,63,0.08,0.085,0.63,0.018000000000000002,0.013000000000000001,0.28600000000000003,2018-19,Brown
