shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.318,0.49200000000000005,0.158,0.585,2016-17,UCIrvine
2pt Jumpers,0.34700000000000003,0.34,0.07200000000000001,0.36700000000000005,2016-17,UCIrvine
3pt Shots,0.335,0.324,0.001,0.325,2016-17,UCIrvine
